coo_number,coo_date,year,period,quarter,month,quarteryear,status,permit,permit_type,permit_subtype,permit_date,zip,rdus,50+units,project_type,stories,tract,coord
165265,6/7/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-40000-01465,Bldg-Addition,1 or 2 Family Dwelling,6/7/2018,90731,1,No,1 unit,2,2965,"(33.74703, -118.29073)"
161003,6/8/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-01655,Bldg-Addition,1 or 2 Family Dwelling,6/8/2018,91311,1,No,1 unit,0,1131.01,"(34.25815, -118.58555)"
169407,6/11/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-30000-05336,Bldg-Addition,1 or 2 Family Dwelling,6/11/2018,91405,1,No,1 unit,1,1278.05,"(34.19261, -118.45292)"
172268,6/12/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-06290,Bldg-Addition,1 or 2 Family Dwelling,6/12/2018,91342,1,No,1 unit,0,1070.1,
169311,6/12/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-04194,Bldg-Addition,1 or 2 Family Dwelling,6/12/2018,91316,1,No,1 unit,1,1392,
170251,6/13/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-05636,Bldg-Addition,1 or 2 Family Dwelling,6/13/2018,91342,1,No,1 unit,1,1070.1,"(34.30313, -118.4523)"
94521,6/14/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,05014-10000-04046,Bldg-Addition,Apartment,6/14/2018,90019,1,No,1 unit,3,2182.2,"(34.04448, -118.33786)"
166307,6/15/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-03316,Bldg-Addition,1 or 2 Family Dwelling,6/15/2018,91405,1,No,1 unit,0,1279.2,
165525,6/15/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-03380,Bldg-Addition,1 or 2 Family Dwelling,6/15/2018,91331,1,No,1 unit,1,1044.01,
173161,6/16/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-30000-02597,Bldg-Addition,1 or 2 Family Dwelling,6/16/2018,90066,1,No,1 unit,1,2716,"(34.02035, -118.43382)"
166624,6/16/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-30000-03153,Bldg-Addition,1 or 2 Family Dwelling,6/16/2018,90025,1,No,1 unit,0,2672,"(34.04491, -118.43107)"
171250,6/18/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17016-10000-22479,Bldg-Addition,1 or 2 Family Dwelling,6/18/2018,90036,1,No,1 unit,1,2110,"(34.06824, -118.34313)"
170834,6/18/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-70000-05678,Bldg-Addition,1 or 2 Family Dwelling,6/18/2018,90039,1,No,1 unit,1,1871.01,"(34.11366, -118.26097)"
173781,6/19/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-06683,Bldg-Addition,1 or 2 Family Dwelling,6/19/2018,91335,1,No,1 unit,1,1318,
173428,6/19/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-02603,Bldg-Addition,1 or 2 Family Dwelling,6/19/2018,91402,1,No,1 unit,0,1203,
168087,6/19/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-03757,Bldg-Addition,1 or 2 Family Dwelling,6/19/2018,91331,1,No,1 unit,1,1192.01,"(34.24521, -118.44328)"
164411,6/19/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17016-20000-03368,Bldg-Addition,1 or 2 Family Dwelling,6/19/2018,91605,1,No,1 unit,0,1218.01,"(34.21532, -118.39233)"
172392,6/23/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-30000-05386,Bldg-Addition,1 or 2 Family Dwelling,6/23/2018,90062,1,No,1 unit,1,2313,"(34.01566, -118.30766)"
165008,6/27/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-02259,Bldg-Addition,1 or 2 Family Dwelling,6/27/2018,90003,1,No,1 unit,2,2376,
69386,6/27/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,07014-10000-07786,Bldg-Addition,Apartment,6/27/2018,90006,1,No,1 unit,2,2133.2,"(34.05183, -118.29566)"
174000,6/27/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-70000-05146,Bldg-Addition,1 or 2 Family Dwelling,6/27/2018,90003,1,No,1 unit,1,2406,"(33.94478, -118.26772)"
174440,6/28/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,18016-10000-04516,Bldg-Addition,1 or 2 Family Dwelling,6/28/2018,91405,1,No,1 unit,2,1235.1,"(34.19946, -118.42949)"
169707,6/29/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-10000-04358,Bldg-Addition,1 or 2 Family Dwelling,6/29/2018,90019,1,No,1 unit,2,2172,"(34.05206, -118.34211)"
165739,6/30/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17016-10000-15253,Bldg-Addition,1 or 2 Family Dwelling,6/30/2018,90031,1,No,1 unit,1,1972,"(34.08998, -118.23439)"
168639,6/30/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-20000-05009,Bldg-Addition,1 or 2 Family Dwelling,6/30/2018,90039,1,No,1 unit,1,1871.02,"(34.11062, -118.25477)"
151424,6/30/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,16014-40000-01167,Bldg-Addition,1 or 2 Family Dwelling,6/30/2018,90039,1,No,1 unit,1,1872,"(34.10204, -118.24466)"
167671,6/30/2018,2018,2018,Q2,6,Q2 2018,CofO Issued,17014-30000-01150,Bldg-Addition,1 or 2 Family Dwelling,6/30/2018,90291,1,No,1 unit,1,2737,
164267,7/2/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-02733,Bldg-Addition,1 or 2 Family Dwelling,7/2/2018,91343,1,No,1 unit,1,1173.03,"(34.22948, -118.49368)"
168824,7/5/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-30000-00291,Bldg-Addition,1 or 2 Family Dwelling,7/5/2018,90019,1,No,1 unit,1,2183,"(34.04231, -118.35901)"
173921,7/6/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-04200,Bldg-Addition,1 or 2 Family Dwelling,7/6/2018,91307,1,No,1 unit,1,1352.03,
163176,7/6/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-10000-02193,Bldg-Addition,1 or 2 Family Dwelling,7/6/2018,90039,1,No,1 unit,1,1871.01,"(34.11704, -118.25884)"
167223,7/7/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-30000-01936,Bldg-Addition,1 or 2 Family Dwelling,7/7/2018,90019,1,No,1 unit,1,2169,"(34.05318, -118.35872)"
165334,7/9/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-02406,Bldg-Addition,1 or 2 Family Dwelling,7/9/2018,91042,1,No,1 unit,1,1013,"(34.2465, -118.26762)"
172580,7/9/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-06621,Bldg-Addition,1 or 2 Family Dwelling,7/9/2018,91401,1,No,1 unit,1,1246,
68037,7/10/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,06014-10000-04386,Bldg-Addition,Commercial,7/10/2018,90291,1,No,1 unit,3,2735,
169166,7/11/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-04657,Bldg-Addition,1 or 2 Family Dwelling,7/11/2018,91402,1,No,1 unit,0,1201.05,"(34.23438, -118.44224)"
156205,7/11/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,15014-70000-04547,Bldg-Addition,1 or 2 Family Dwelling,7/11/2018,90006,1,No,1 unit,2,2133.2,"(34.04953, -118.2925)"
162301,7/11/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-10000-00237,Bldg-Addition,1 or 2 Family Dwelling,7/11/2018,91042,1,No,1 unit,0,1012.1,"(34.25363, -118.29306)"
166476,7/12/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-03227,Bldg-Addition,1 or 2 Family Dwelling,7/12/2018,90042,1,No,1 unit,0,1836.1,"(34.11346, -118.1956)"
173129,7/12/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-30000-06438,Bldg-Addition,1 or 2 Family Dwelling,7/12/2018,91304,1,No,1 unit,1,1343.04,
172698,7/12/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-30000-06481,Bldg-Addition,1 or 2 Family Dwelling,7/12/2018,91335,1,No,1 unit,1,1330,
172015,7/12/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-06274,Bldg-Addition,1 or 2 Family Dwelling,7/12/2018,91367,1,No,1 unit,1,1371.04,"(34.17108, -118.57634)"
174538,7/14/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-03758,Bldg-Addition,1 or 2 Family Dwelling,7/14/2018,90005,1,No,1 unit,2,2117.01,"(34.06292, -118.32019)"
167561,7/14/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-10000-03081,Bldg-Addition,1 or 2 Family Dwelling,7/14/2018,90045,1,No,1 unit,2,2761,
172244,7/16/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-70000-05380,Bldg-Addition,1 or 2 Family Dwelling,7/16/2018,90008,1,No,1 unit,0,2340,
164669,7/16/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17016-30000-08322,Bldg-Addition,1 or 2 Family Dwelling,7/16/2018,91606,1,No,1 unit,1,1239.01,"(34.18424, -118.39092)"
171136,7/17/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-04554,Bldg-Addition,1 or 2 Family Dwelling,7/17/2018,91401,1,No,1 unit,2,1236.01,"(34.16976, -118.41486)"
163952,7/18/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-10000-02530,Bldg-Addition,1 or 2 Family Dwelling,7/18/2018,90019,1,No,1 unit,0,2127.02,
161517,7/18/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-30000-00554,Bldg-Addition,1 or 2 Family Dwelling,7/18/2018,90066,1,No,1 unit,2,2722.01,
169186,7/20/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-04579,Bldg-Addition,1 or 2 Family Dwelling,7/20/2018,91405,1,No,1 unit,0,1278.04,"(34.19517, -118.45905)"
172135,7/20/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-05601,Bldg-Addition,1 or 2 Family Dwelling,7/20/2018,91342,1,No,1 unit,1,1065.2,
166892,7/23/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-03250,Bldg-Addition,1 or 2 Family Dwelling,7/23/2018,91606,1,No,1 unit,1,1239.01,"(34.18328, -118.39123)"
164847,7/25/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-70000-00593,Bldg-Addition,1 or 2 Family Dwelling,7/25/2018,90001,1,No,1 unit,1,2398.01,
168369,7/26/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17010-20000-01285,Bldg-Addition,1 or 2 Family Dwelling,7/26/2018,91306,1,No,1 unit,1,1347.2,"(34.20525, -118.57007)"
174331,7/26/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17016-20000-35815,Bldg-Addition,1 or 2 Family Dwelling,7/26/2018,91331,1,No,1 unit,1,1194,
174035,7/26/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-00186,Bldg-Addition,1 or 2 Family Dwelling,7/26/2018,91306,1,No,1 unit,1,1134.01,
170254,7/26/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-04387,Bldg-Addition,1 or 2 Family Dwelling,7/26/2018,91406,1,No,1 unit,0,1276.06,
170897,7/26/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-05147,Bldg-Addition,1 or 2 Family Dwelling,7/26/2018,91367,1,No,1 unit,1,1349.01,"(34.18694, -118.56245)"
167438,7/27/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-00677,Bldg-Addition,1 or 2 Family Dwelling,7/27/2018,91331,1,No,1 unit,0,1198,"(34.23878, -118.42615)"
168820,7/27/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17016-20000-08017,Bldg-Addition,1 or 2 Family Dwelling,7/27/2018,91331,1,No,1 unit,1,1043.2,
53758,7/28/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,07014-10000-02139,Bldg-Addition,1 or 2 Family Dwelling,7/28/2018,90003,1,No,1 unit,1,2398,"(33.96728, -118.26848)"
165493,7/28/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-03145,Bldg-Addition,1 or 2 Family Dwelling,7/28/2018,90037,1,No,1 unit,1,2316,"(34.00513, -118.29922)"
166973,7/31/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-03850,Bldg-Addition,1 or 2 Family Dwelling,7/31/2018,91606,1,No,1 unit,1,1231.04,
165371,7/31/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-01438,Bldg-Addition,1 or 2 Family Dwelling,7/31/2018,91606,1,No,1 unit,2,1237,"(34.18168, -118.41147)"
170502,7/31/2018,2018,2018,Q3,7,Q3 2018,CofO Issued,17014-20000-02932,Bldg-Addition,1 or 2 Family Dwelling,7/31/2018,91411,1,No,1 unit,0,1283.02,
172088,8/1/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-06008,Bldg-Addition,1 or 2 Family Dwelling,8/1/2018,91042,1,No,1 unit,1,1031.02,
173607,8/1/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-10000-04960,Bldg-Addition,1 or 2 Family Dwelling,8/1/2018,90018,1,No,1 unit,0,2189,"(34.02976, -118.32029)"
162774,8/2/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-01551,Bldg-Addition,1 or 2 Family Dwelling,8/2/2018,91356,1,No,1 unit,1,1393.01,"(34.17524, -118.54251)"
168163,8/2/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-04427,Bldg-Addition,1 or 2 Family Dwelling,8/2/2018,91401,1,No,1 unit,1,1286.02,
170844,8/2/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17016-20000-15766,Bldg-Addition,1 or 2 Family Dwelling,8/2/2018,91605,1,No,1 unit,1,1210.2,
35203,8/4/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,06014-70000-06391,Bldg-Addition,1 or 2 Family Dwelling,8/4/2018,90044,1,No,1 unit,1,2377.2,"(33.96967, -118.28549)"
172722,8/4/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17016-30000-19100,Bldg-Addition,1 or 2 Family Dwelling,8/4/2018,90065,1,No,1 unit,0,1862.03,"(34.11189, -118.21828)"
24374,8/4/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,05014-70000-08484,Bldg-Addition,1 or 2 Family Dwelling,8/4/2018,90011,1,No,1 unit,1,2282.2,"(34.0047, -118.25286)"
178126,8/7/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-20000-01689,Bldg-Addition,1 or 2 Family Dwelling,8/7/2018,91042,1,No,1 unit,1,1031.02,
175654,8/8/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-20000-01129,Bldg-Addition,1 or 2 Family Dwelling,8/8/2018,91605,1,No,1 unit,1,1216,
172544,8/10/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-05800,Bldg-Addition,1 or 2 Family Dwelling,8/10/2018,91606,1,No,1 unit,1,1232.06,
166955,8/10/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-70000-01664,Bldg-Addition,1 or 2 Family Dwelling,8/10/2018,90042,1,No,1 unit,1,1833,"(34.11906, -118.19995)"
170103,8/13/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,16014-20000-04634,Bldg-Addition,1 or 2 Family Dwelling,8/13/2018,91344,1,No,1 unit,1,1112.02,
174499,8/13/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-20000-00864,Bldg-Addition,1 or 2 Family Dwelling,8/13/2018,91605,1,No,1 unit,1,1218.02,
34434,8/14/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,06014-10000-05420,Bldg-Addition,1 or 2 Family Dwelling,8/14/2018,90039,1,No,1 unit,0,1872,"(34.10392, -118.24812)"
170531,8/14/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-04242,Bldg-Addition,1 or 2 Family Dwelling,8/14/2018,91605,1,No,1 unit,1,1210.1,
26364,8/14/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,06014-10000-01025,Bldg-Addition,1 or 2 Family Dwelling,8/14/2018,90027,1,No,1 unit,1,1911.1,"(34.09642, -118.30063)"
69456,8/15/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,06014-70000-07272,Bldg-Addition,1 or 2 Family Dwelling,8/15/2018,90016,1,No,1 unit,2,2184,"(34.03742, -118.35844)"
169454,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-04225,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91605,1,No,1 unit,0,1218.02,
175967,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-20000-01252,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91402,1,No,1 unit,1,1203,
161382,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-01332,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91607,1,No,1 unit,1,1238,"(34.17425, -118.39905)"
172461,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-10000-03727,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,90027,1,No,1 unit,2,1892.02,"(34.10871, -118.29388)"
171954,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-05460,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91331,1,No,1 unit,1,1043.2,
170034,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-04127,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91306,1,No,1 unit,1,1347.2,
172404,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-04713,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91303,1,No,1 unit,2,1343.03,
176480,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-20000-01586,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91331,1,No,1 unit,1,1041.08,"(34.27093, -118.40155)"
165440,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-02010,Bldg-Addition,1 or 2 Family Dwelling,8/16/2018,91040,1,No,1 unit,1,1031.02,"(34.26314, -118.30352)"
172062,8/16/2018,2018,2018,Q3,8,Q3 2018,CofO Corrected,17014-10000-05806,Bldg-Addition,1 or 2 Family Dwelling,8/29/2018,91042,1,No,1 unit,0,1011.1,
169734,8/17/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17016-20000-25338,Bldg-Addition,1 or 2 Family Dwelling,8/17/2018,91343,1,No,1 unit,1,1174.04,
162838,8/18/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-01189,Bldg-Addition,1 or 2 Family Dwelling,8/18/2018,90035,1,No,1 unit,2,2170.02,
161174,8/20/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-01740,Bldg-Addition,1 or 2 Family Dwelling,8/20/2018,91406,1,No,1 unit,1,1321.02,
168563,8/20/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-10000-04645,Bldg-Addition,1 or 2 Family Dwelling,8/20/2018,91605,1,No,1 unit,1,1210.1,
166685,8/21/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-02424,Bldg-Addition,1 or 2 Family Dwelling,8/21/2018,91352,1,No,1 unit,1,1220,
173035,8/21/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-06549,Bldg-Addition,1 or 2 Family Dwelling,8/21/2018,91605,1,No,1 unit,1,1210.1,
176529,8/21/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18016-20000-06398,Bldg-Addition,1 or 2 Family Dwelling,8/21/2018,91606,1,No,1 unit,0,1233.03,
171453,8/21/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-06120,Bldg-Addition,1 or 2 Family Dwelling,8/21/2018,91335,1,No,1 unit,1,1316,
175593,8/21/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-30000-00050,Bldg-Addition,1 or 2 Family Dwelling,8/21/2018,91405,1,No,1 unit,1,1279.2,"(34.1983, -118.43846)"
170615,8/21/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-40000-04927,Bldg-Addition,1 or 2 Family Dwelling,8/21/2018,90710,1,No,1 unit,1,2944.1,"(33.79557, -118.295)"
165614,8/22/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-03050,Bldg-Addition,1 or 2 Family Dwelling,8/22/2018,90062,1,No,1 unit,0,2313,"(34.01407, -118.30362)"
172375,8/23/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,18014-20000-00002,Bldg-Addition,1 or 2 Family Dwelling,8/23/2018,91367,1,No,1 unit,1,9304.01,
170433,8/24/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-05245,Bldg-Addition,1 or 2 Family Dwelling,8/24/2018,91352,1,No,1 unit,1,1211.02,
172756,8/24/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-05847,Bldg-Addition,1 or 2 Family Dwelling,8/24/2018,91606,1,No,1 unit,1,1237,
167647,8/24/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-03999,Bldg-Addition,1 or 2 Family Dwelling,8/24/2018,91331,1,No,1 unit,1,1044.04,
176494,8/25/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-03830,Bldg-Addition,1 or 2 Family Dwelling,8/25/2018,90066,1,No,1 unit,1,2754,
160801,8/25/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-00423,Bldg-Addition,1 or 2 Family Dwelling,8/25/2018,90045,1,No,1 unit,1,2770,
169506,8/27/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-04610,Bldg-Addition,1 or 2 Family Dwelling,8/27/2018,91605,1,No,1 unit,1,1220,"(34.21006, -118.42046)"
175809,8/27/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-06390,Bldg-Addition,1 or 2 Family Dwelling,8/27/2018,90016,1,No,1 unit,1,2200,"(34.02692, -118.33827)"
161910,8/28/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-02048,Bldg-Addition,1 or 2 Family Dwelling,8/28/2018,91340,1,No,1 unit,1,1095,
161958,8/28/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-02031,Bldg-Addition,1 or 2 Family Dwelling,8/28/2018,91324,1,No,1 unit,1,1152.02,"(34.23528, -118.5387)"
169028,8/28/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-03118,Bldg-Addition,1 or 2 Family Dwelling,8/28/2018,91604,1,No,1 unit,1,1439.01,
174998,8/28/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-30000-06022,Bldg-Addition,1 or 2 Family Dwelling,8/28/2018,91403,1,No,1 unit,1,1289.1,
167194,8/29/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-02548,Bldg-Addition,1 or 2 Family Dwelling,8/29/2018,91406,1,No,1 unit,0,1311,"(34.22025, -118.50383)"
165948,8/30/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-02961,Bldg-Addition,1 or 2 Family Dwelling,8/30/2018,91402,1,No,1 unit,0,1199,
165081,8/30/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,17014-20000-02403,Bldg-Addition,1 or 2 Family Dwelling,8/30/2018,91331,1,No,1 unit,1,1198,"(34.23696, -118.42889)"
82925,8/30/2018,2018,2018,Q3,8,Q3 2018,CofO Issued,09014-20000-04295,Bldg-Addition,1 or 2 Family Dwelling,8/30/2018,91402,1,No,1 unit,1,1204,"(34.2171, -118.42859)"
173909,9/1/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17016-10000-27732,Bldg-Addition,1 or 2 Family Dwelling,9/1/2018,90066,1,No,1 unit,0,2723.01,
173632,9/5/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17016-20000-33348,Bldg-Addition,1 or 2 Family Dwelling,9/5/2018,91303,1,No,1 unit,1,1351.11,
168763,9/5/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-02565,Bldg-Addition,1 or 2 Family Dwelling,9/5/2018,91040,1,No,1 unit,2,1032,"(34.26129, -118.31734)"
172536,9/5/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-06634,Bldg-Addition,1 or 2 Family Dwelling,9/5/2018,91605,1,No,1 unit,1,1210.1,
175247,9/5/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,18014-20000-01099,Bldg-Addition,1 or 2 Family Dwelling,9/5/2018,91331,1,No,1 unit,0,1042.04,
164197,9/6/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-30000-00952,Bldg-Addition,1 or 2 Family Dwelling,9/6/2018,90064,1,No,1 unit,1,2679.02,"(34.04626, -118.42069)"
161054,9/10/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-01654,Bldg-Addition,1 or 2 Family Dwelling,9/10/2018,91606,1,No,1 unit,1,1232.06,"(34.19345, -118.37455)"
174726,9/10/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,18014-20000-00589,Bldg-Addition,1 or 2 Family Dwelling,9/10/2018,91344,1,No,1 unit,0,1066.42,
88389,9/11/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,10014-10000-03195,Bldg-Addition,1 or 2 Family Dwelling,9/11/2018,90019,1,No,1 unit,1,2172,"(34.04687, -118.34609)"
161542,9/11/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-01709,Bldg-Addition,1 or 2 Family Dwelling,9/11/2018,90003,1,No,1 unit,1,2377.2,
164203,9/12/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-01289,Bldg-Addition,1 or 2 Family Dwelling,9/12/2018,91307,1,No,1 unit,2,1352.03,
94469,9/12/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,10014-10000-04819,Bldg-Addition,1 or 2 Family Dwelling,9/12/2018,90026,1,No,1 unit,1,1955,"(34.08484, -118.26532)"
164140,9/12/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17016-20000-09198,Bldg-Addition,1 or 2 Family Dwelling,9/12/2018,91367,1,No,1 unit,1,1351.02,"(34.18005, -118.61717)"
173675,9/12/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-06309,Bldg-Addition,1 or 2 Family Dwelling,9/12/2018,91402,1,No,1 unit,2,1197,
169468,9/13/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-04937,Bldg-Addition,1 or 2 Family Dwelling,9/13/2018,91403,1,No,1 unit,1,1289.1,
174731,9/13/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-05970,Bldg-Addition,1 or 2 Family Dwelling,9/13/2018,91343,1,No,1 unit,2,1174.04,"(34.22695, -118.48387)"
166386,9/14/2018,2018,2018,Q3,9,Q3 2018,CofO Issued,17014-20000-02808,Bldg-Addition,1 or 2 Family Dwelling,9/14/2018,91601,1,No,1 unit,1,1242.03,
